"point_id","lc1","lc_lu_special_remark","survey_date","photo_east_descr","photo_west_descr","photo_north_descr","photo_south_descr","correct_photos","X","Y"
41683182,"B11",10,"2018-05-03","Oats","Potatoes","Wheat","Gras Clover Mix",1,7.784226,51.7262
44663336,"B32",10,"2018-05-03","Potatoes","Potatoes","Sugar beet","Gras Clover Mix",0,12.16513064,53.11335
44683330,"B11",10,"2018-05-03","Oats","Oats","Gras Clover Mix","Gras Clover Mix",0,12.19274799,53.05832
44683344,"B16",10,"2018-05-03","Harvested grain","Harvested grain","Harvested grain","Harvested grain",4,12.19912031,53.18421
44743334,"B18",10,"2018-05-03","Gras Clover Mix","Oats","Gras Clover Mix","Gras Clover Mix",0,12.28409589,53.09274
44783332,"B14",10,"2018-05-03","Maize","Gras Clover Mix","Maize","Gras Clover Mix",0,12.34287489,53.07364
44943330,"B15",10,"2018-05-03","Maize","Maize","Maize","Maize",0,12.58031993,53.0508
45822778,"B16",10,"2018-05-03","Maize","Harvested grain","Maize","Maize",4,13.50123311,48.05986
45862772,"B16",10,"2018-05-03","Harvested grain","Harvested grain","Maize","Maize",4,13.55097032,48.00428
46822784,"B11",10,"2018-05-03","Maize","Maize","Maize","Gras Clover Mix",0,14.8447,48.06335
47242648,"B16",10,"2018-05-03","Maize","Maize","Maize","Maize",4,15.28089,46.81632
47302638,"B11",10,"2018-05-03","Wheat","Potatoes","Oats","Oats",1,15.34997,46.72271
47322642,"B16",10,"2018-05-03","Maize","Maize","Potatoes","Maize",3,15.37991,46.7573
47842774,"B13",10,"2018-05-03","Oats","Gras Clover Mix","Wheat","Potatoes",0,16.19767,47.9048
47842776,"B13",10,"2018-05-03","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix",0,16.19967,47.92293
48162788,"B16",10,"2018-05-03","Wheat","Gras Clover Mix","Harvested grain","Harvested grain",2,16.640529,48.00522
48162796,"B13",10,"2018-05-03","Barley","Barley","Triticale","Gras Clover Mix",2,16.649518,48.07652
48583214,"B21",10,"2018-05-03","Maize","Harvested grain","Harvested grain","Wheat",2,17.79778056,51.77758
48583228,"B18",10,"2018-05-03","Gras Clover Mix","Oats","Oats","Wheat",0,17.81942502,51.90258
48583232,"B15",10,"2018-05-03","Maize","Gras Clover Mix","Gras Clover Mix","Maize",0,17.82576848,51.9383
48583234,"B32",10,"2018-05-03","Potatoes","Potatoes","Peas","Potatoes",0,17.82882119,51.95618
48602814,"B16",10,"2018-05-03","Maize","Maize","Maize","Maize",4,17.26088,48.20077
48602816,"B16",10,"2018-05-03","Maize","Maize","Maize","Maize",4,17.26346,48.21866
48603216,"B13",10,"2018-05-03","Maize","Maize","Gras Clover Mix","Maize",0,17.82965092,51.79355
48623226,"B16",10,"2018-05-03","Maize","Maize","Harvested grain","Maize",4,17.87425853,51.88082
48802796,"B32",10,"2018-05-03","Peas","Peas","Gras Clover Mix","Peas",0,17.502921,48.01944
48842782,"B16",10,"2018-05-03","Maize","Maize","Maize","Maize",4,17.53954,47.89291
48882790,"B32",10,"2018-05-03","Peas","Winter oilseed rape","Peas","Peas",1,17.60407,47.9608
49343070,"B15",10,"2018-05-03","Oats","Gras Clover Mix","Gras Clover Mix","Oats",2,18.64650836,50.41523
49363068,"B11",10,"2018-05-03","Gras Clover Mix","Barley","Gras Clover Mix","Gras Clover Mix",0,18.67188696,50.39598
49363070,"B32",10,"2018-05-03","Peas","Peas","Peas","Triticale",0,18.67514389,50.41377
49383072,"B21",10,"2018-05-03","Peas","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix",0,18.70630006,50.42859
49423064,"B13",10,"2018-05-03","Gras Clover Mix","Wheat","Wheat","Oats",0,18.74905859,50.3539
49882864,"B16",2,"2018-05-03","Gras Clover Mix","Maize","Wheat","Harvested grain",2,19.05169,48.5204
49942876,"B32",10,"2018-05-03","Maize","Oats","Field Bean","Gras Clover Mix",0,19.15205,48.62076
49983402,"B41",10,"2018-05-03","Harvested grain","Potatoes","Potatoes","Potatoes",1,20.19176704,53.29711
50023404,"B13",10,"2018-05-03","Gras Clover Mix","Oats","Gras Clover Mix","Gras Clover Mix",0,20.25528593,53.30977
50043400,"B32",10,"2018-05-03","Sugar beet","Sugar beet","Sugar beet","Peas",0,20.27651632,53.27176
50743476,"B16",10,"2018-05-03","Gras Clover Mix","Harvested grain","Peas","Gras Clover Mix",1,21.49636355,53.85159
50883480,"B16",10,"2018-05-03","Maize","Gras Clover Mix","Maize","Harvested grain",3,21.71654866,53.86691
51203782,"B18",10,"2018-05-03","Harvested grain","Maize","Maize","Harvested grain",2,23.04157,56.48534
51223780,"B11",10,"2018-05-03","Maize","Gras Clover Mix","Harvested grain","Gras Clover Mix",1,23.06747,56.46444
51243788,"B32",10,"2018-05-03","Harvested grain","Gras Clover Mix","Potatoes","Potatoes",1,23.12379,56.53167
51263782,"B11",10,"2018-05-03","Maize","Maize","Maize","Maize",0,23.13745,56.47554
51263788,"B11",10,"2018-05-03","Gras Clover Mix","Gras Clover Mix","Maize","Gras Clover Mix",0,23.15575,56.52842
51263792,"B11",10,"2018-05-03","Maize","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix",0,23.16801,56.56366
51302890,"B16",10,"2018-05-03","Maize","Maize","Maize","Maize",4,21.006678,48.57849
51323784,"B11",10,"2018-05-03","Maize","Maize","Maize","Gras Clover Mix",0,23.23941,56.48327
51323786,"B11",10,"2018-05-03","Maize","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix",0,23.24553,56.50091
51402886,"B16",2,"2018-05-03","Maize","Maize","Maize","Maize",4,21.132911,48.5295
51442890,"B11",10,"2018-05-03","Oats","Maize","Oats","Field Bean",0,21.19455,48.55958
52163210,"B13",10,"2018-05-03","Wheat","Oats","Oats","Wheat",0,22.90629211,51.2866
52223198,"B13",10,"2018-05-03","Oats","Oats","Oats","Gras Clover Mix",0,22.96092402,51.17117
53223808,"B15",10,"2018-05-03","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix",0,26.33934,56.34361
53463812,"B32",10,"2018-05-03","Gras Clover Mix","Potatoes","Maize","Gras Clover Mix",0,26.73258,56.32934
53543796,"B15",10,"2018-05-03","Potatoes","Peas","Potatoes","Peas",0,26.79689,56.17344
56182312,"B11",10,"2018-05-03","Barley","Barley","Barley","Barley",0,25.90725,42.67332
64341660,"B11",10,"2018-05-03","Oats","Harvested grain","Harvested grain","Barley",2,33.32171,35.08641
64381658,"B11",10,"2018-05-03","Barley","Barley","Barley","Wheat",1,33.35809,35.0582
29022372,"B21",10,"2018-05-03","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix",0,-7.518896,42.95644
29862156,"B15",10,"2018-05-03","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix",0,-5.989656,41.22712
30482400,"B21",10,"2018-05-03","Gras Clover Mix","Potatoes","Potatoes","Gras Clover Mix",2,-5.830782,43.49314
32901858,"B13",10,"2018-05-03","Oats","Gras Clover Mix","Maize","Oats",0,-1.897434,39.08373
34382768,"B32",10,"2018-05-03","Winter oilseed rape","Winter oilseed rape","Winter oilseed rape","Gras Clover Mix",3,-1.745382,47.39312
34562132,"B13",10,"2018-05-03","Barley","Barley","Barley","Barley",4,-0.398074,41.75346
34703702,"B13",8,"2018-05-03","Harvested grain","Harvested grain","Harvested grain","Harvested grain",4,-3.6194979865,55.69431
41763188,"B13",10,"2018-05-03","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix",0,7.8984309145,51.78334
44542518,"B55",10,"2018-05-03","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix","Gras Clover Mix",4,11.70745,45.76094
44803332,"B41",10,"2018-05-03","Gras Clover Mix","Maize","Maize","Gras Clover Mix",0,12.37280176,53.07276
44803336,"B16",10,"2018-05-03","Harvested grain","Maize","Maize","Maize",4,12.37456503,53.10898
44823334,"B16",10,"2018-05-03","Harvested grain","Maize","Gras Clover Mix","Gras Clover Mix",2,12.40340198,53.09041
45222502,"B22",10,"2018-05-03","Maize","Maize","Maize","Sugar beet",1,12.573128,45.59927
