system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,correct_photos,lc1,lc_lu_special_remark,photo_east_descr,photo_north_descr,photo_south_descr,photo_west_descr,point_id,survey_date,.geo
00000000000000000002_0,139.5,146.5,1594.0,850.0,274.0,544.0,306.5,894.0,3043.0,3888.5,4051.0,4080.5,4035.5,0.0,0.0,0.0,0.0,0.0,4.0,27.5,55.0,31.0,1634.0,0,B11,10,Oats,Gras Clover Mix,Gras Clover Mix,Oats,44683330,2018-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033_0,157.0,937.0,2312.0,1767.5,911.5,1081.0,987.0,1856.0,3505.0,4589.5,5007.5,4849.0,5138.0,8.0,0.0,0.0,0.0,1024.0,9.0,92.5,109.5,100.0,1538.5,0,B13,10,Wheat,Oats,Wheat,Oats,52163210,2018-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034_0,156.5,724.5,2001.5,1377.0,959.5,1259.0,1128.5,1680.0,3487.5,4326.5,4436.0,4492.5,4679.5,0.5,0.0,0.0,0.0,0.0,4.5,97.5,127.5,114.5,1359.5,0,B13,10,Oats,Oats,Gras Clover Mix,Oats,52223198,2018-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063_0,109.5,501.5,1880.5,1235.0,441.0,815.5,613.5,1357.5,2509.5,2784.5,3356.5,2964.0,2987.5,0.0,0.0,0.0,0.0,0.0,4.0,44.5,82.5,62.0,1593.0,0,B13,10,Gras Clover Mix,Oats,Gras Clover Mix,Oats,49383066,2018-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024_0,64.0,312.0,2028.0,1226.0,376.0,624.0,452.0,1027.0,2944.0,3797.0,4001.0,3947.0,3733.0,0.0,0.0,0.0,0.0,0.0,4.0,38.0,63.0,46.0,1299.0,0,B13,10,Gras Clover Mix,Gras Clover Mix,Gras Clover Mix,Oats,50023404,2018-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,59.0,550.0,2044.0,1114.0,576.0,855.0,550.0,1123.0,3856.0,5206.0,5266.0,5176.0,4612.0,0.0,0.0,0.0,0.0,0.0,4.0,58.0,87.0,56.0,1526.0,0,B18,10,Gras Clover Mix,Oats,Wheat,Oats,48583228,2018-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,148.5,257.5,1855.5,1072.5,347.5,686.5,538.0,1182.0,2698.0,3206.5,3412.5,3456.0,3406.5,0.0,0.0,0.0,0.0,0.0,4.0,35.0,69.5,54.5,1478.0,0,B18,10,Gras Clover Mix,Gras Clover Mix,Gras Clover Mix,Oats,44743334,2018-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_0,115.0,334.0,1892.0,1288.0,489.0,712.0,608.0,1097.0,2770.0,3187.0,3443.0,3338.0,3141.0,0.0,0.0,0.0,0.0,0.0,4.0,49.0,72.0,62.0,1657.0,0,B32,10,Maize,Field Bean,Gras Clover Mix,Oats,49942876,2018-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037_0,65.0,593.0,2813.0,2503.0,689.0,978.0,1267.0,1522.0,1754.0,1840.0,1845.0,2026.0,2320.0,0.0,0.0,0.0,0.0,0.0,5.0,70.0,99.0,129.0,797.0,0,B15,10,Potatoes,Potatoes,Peas,Peas,53543796,2018-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0,109.0,280.0,2102.0,1267.0,560.0,1205.0,1047.0,1619.0,3964.0,4679.0,4967.0,4858.0,5053.0,4.0,0.0,0.0,0.0,0.0,4.0,57.0,122.0,106.0,1687.0,0,B32,10,Peas,Peas,Triticale,Peas,49363070,2018-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070_0,104.0,470.0,2374.0,1696.0,712.0,1133.0,1014.0,1749.0,3498.0,3899.0,3874.0,4045.0,4049.0,0.0,0.0,0.0,0.0,0.0,4.0,72.0,115.0,103.0,1865.0,0,B32,10,Sugar beet,Field Bean,Field Bean,Peas,51282900,2018-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0,171.0,248.0,1470.0,765.0,588.0,1115.0,657.0,1639.0,4475.0,5350.0,5516.0,5493.0,5480.0,2.0,0.0,0.0,0.0,1024.0,4.0,59.0,113.0,67.0,1931.0,0,B32,10,Peas,Gras Clover Mix,Peas,Peas,48802796,2018-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062_0,103.0,356.0,2009.0,1127.5,422.5,829.0,635.5,1342.0,3486.0,4054.5,4374.0,4209.5,3651.5,0.0,0.0,0.0,0.0,0.0,4.0,42.5,84.0,64.5,1769.5,0,B32,10,Gras Clover Mix,Gras Clover Mix,Gras Clover Mix,Peas,49383064,2018-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032_0,98.5,183.5,1482.0,642.0,220.0,405.0,204.0,652.5,3252.5,4772.5,5006.5,4975.5,4917.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,41.0,20.0,1732.0,0,B11,10,Oats,Oats,Field Bean,Maize,51442890,2018-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,155.0,881.0,3432.0,2871.0,1231.0,1740.5,2095.0,2377.5,2918.0,3197.5,3202.5,3354.0,3966.5,0.0,0.0,0.0,0.0,1024.0,7.5,125.0,177.0,213.5,1537.5,0,B11,10,Maize,Maize,Gras Clover Mix,Maize,46822784,2018-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b_0,83.0,622.0,2858.0,2281.0,715.0,1046.0,1173.0,1550.0,2621.0,2950.0,2889.0,3140.0,3313.0,0.0,0.0,0.0,0.0,0.0,5.0,72.0,106.0,119.0,1284.0,0,B11,10,Maize,Maize,Maize,Maize,51263782,2018-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f_0,83.0,605.0,2946.0,2421.0,824.0,1158.0,1446.0,1721.0,2426.0,2677.0,2751.0,2736.0,2953.0,0.0,0.0,0.0,0.0,0.0,5.0,84.0,118.0,147.0,1213.0,0,B11,10,Maize,Maize,Gras Clover Mix,Maize,51323784,2018-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f_0,83.0,400.0,2407.0,1660.0,627.0,1003.0,952.0,1359.0,2741.0,3104.0,2966.0,3476.0,3567.0,0.0,0.0,0.0,0.0,0.0,4.0,63.0,102.0,97.0,1287.0,0,B11,10,Maize,Maize,Gras Clover Mix,Maize,51263784,2018-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060_0,171.0,516.0,2217.0,1637.0,644.0,901.0,860.0,1271.0,2359.0,2662.0,2684.0,2865.0,3897.0,0.0,0.0,0.0,0.0,1024.0,9.0,65.0,91.0,87.0,1923.0,0,B11,10,Maize,Gras Clover Mix,Gras Clover Mix,Maize,48882780,2018-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b_0,170.0,393.0,1800.0,1085.0,428.0,713.0,598.0,1070.0,2477.0,3028.0,3061.0,3081.0,3005.0,0.0,0.0,0.0,0.0,0.0,4.0,43.0,72.0,60.0,1828.0,0,B13,10,Maize,Oats,Gras Clover Mix,Maize,48622818,2018-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e_0,171.0,4303.0,3120.0,2384.0,5152.0,3983.0,2408.0,3055.0,4229.0,4871.0,5188.0,5074.0,9054.0,77.0,0.0,0.0,0.0,1024.0,8.0,255.0,255.0,245.0,1803.0,0,B13,10,Oats,Wheat,Wheat,Maize,48782800,2018-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0,59.0,628.0,2964.0,2246.0,785.0,1151.0,1081.0,1769.0,3272.0,3703.0,3894.0,3880.0,3848.0,0.0,0.0,0.0,0.0,0.0,4.0,80.0,117.0,110.0,1356.0,0,B13,10,Maize,Gras Clover Mix,Maize,Maize,48603216,2018-05-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
